Day,Mean,Min,Max
6,5931.928068,5931.928068,5931.928068
7,164624.6426,164624.6426,164624.6426	
8,320003.4341,870.4804787,98893803.9
9,102402.1979,10570.52081,827702.7462
10,827038.5873,11811.06764,47990958.09
11,622034.4431,1283.611901,269123542.5
12,3051.659556,1.181106764,6850918.361
13,240681.8267,52831.33271,977998.445
14,88808.31049,67.81492741,88483013.14
15,13942.15469,71.68391014,2015337.686
16,16857.92526,3683.537201,71626.29116
17,20383.48091,18.92816154,17635054.72
18,181022.2502,472.8232188,63377100.62
19,39622.15969,358.2752993,4152957.512
20,19438.36774,423.1613793,827702.7462
21,32769.05505,659.5946257,1291549.665
22,2188.800534,21.14955358,194919.403
23,41548.62931,2791.149716,592852.7789
24,8270.385873,147.4601593,379935.7365
25,25844.6785,3484.726313,174399.7643
26,12679.2272,29.50390616,4907058.732
27,258.446785,6.595946257,10224.96513
28,435.6876584,12.14331748,14275.43569
29,126.792272,2.298506748,6552.772959
30,86.72500429,1.117359102,6198.270585
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
